id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
LwzmcSt,gpt_neo_1.3b,1,0.7,20,keep head from moving while sleeping on bus,Prevent objects from moving in the same direction,0
LwzmcSt,gpt_neo_1.3b,2,0.7,20,keep head from moving while sleeping on bus,Avoid jerky movements,109
LwzmcSt,gpt_neo_1.3b,3,0.7,20,keep head from moving while sleeping on bus,keep head from moving while sleeping on a bed,205
LwzmcSt,gpt_neo_1.3b,4,0.7,20,keep head from moving while sleeping on bus,prevent motion of objects,305
LwzmcSt,gpt_neo_1.3b,5,0.7,20,keep head from moving while sleeping on bus,Control the position of the head without disturbing the body,403
LwzmcSt,gpt_neo_1.3b,6,0.7,20,keep head from moving while sleeping on bus,Keep head in the same plane as the rest of body,501
LwzmcSt,gpt_neo_1.3b,7,0.7,20,keep head from moving while sleeping on bus,Prevent movement of objects in a space,598
LwzmcSt,gpt_neo_1.3b,8,0.7,20,keep head from moving while sleeping on bus,Avoid unnecessary movement of an object,701
LwzmcSt,gpt_neo_1.3b,9,0.7,20,keep head from moving while sleeping on bus,prevent head from moving while the user is not awake,803
LwzmcSt,gpt_neo_1.3b,10,0.7,20,keep head from moving while sleeping on bus,prevent head from being displaced while sleeping,904
LwzmcSt,gpt_neo_1.3b,11,0.7,20,keep head from moving while sleeping on bus,Place a barrier between an object and the user,1002
LwzmcSt,gpt_neo_1.3b,12,0.7,20,keep head from moving while sleeping on bus,keep object in position and prevent head from moving,1096
LwzmcSt,gpt_neo_1.3b,13,0.7,20,keep head from moving while sleeping on bus,keep head in the same position while sleeping on a train,1189
LwzmcSt,gpt_neo_1.3b,14,0.7,20,keep head from moving while sleeping on bus,keep head in a stable position,1282
LwzmcSt,gpt_neo_1.3b,15,0.7,20,keep head from moving while sleeping on bus,Stop unwanted movement by friction,1375
LwzmcSt,gpt_neo_1.3b,16,0.7,20,keep head from moving while sleeping on bus,limit the range of motion of the head,1469
LwzmcSt,gpt_neo_1.3b,17,0.7,20,keep head from moving while sleeping on bus,Avoid collisions between body parts,1487
LwzmcSt,gpt_neo_1.3b,18,0.7,20,keep head from moving while sleeping on bus,Avoid collision of head with the walls of the bus,1580
LwzmcSt,gpt_neo_1.3b,19,0.7,20,keep head from moving while sleeping on bus,Prevent movement of objects in space,1677
LwzmcSt,gpt_neo_1.3b,20,0.7,20,keep head from moving while sleeping on bus,Remove the need for a helmet,1776
LwzmcSt,gpt_neo_1.3b,1,0.8,20,keep head from moving while sleeping on bus,Limit the degree of freedom of an object,1876
LwzmcSt,gpt_neo_1.3b,2,0.8,20,keep head from moving while sleeping on bus,Keep the body from being twisted when the head is raised,1972
LwzmcSt,gpt_neo_1.3b,3,0.8,20,keep head from moving while sleeping on bus,Provide a fixed point for a head to rest on,2070
LwzmcSt,gpt_neo_1.3b,4,0.8,20,keep head from moving while sleeping on bus,keep a mobile head in a fixed position,2165
