,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,ZdNb5Jh,gpt_neo_13b,1,0.9,20,navigate in the dark,Make the object visually visible,0
2,ZdNb5Jh,gpt_neo_13b,2,0.9,20,navigate in the dark,Help users navigate by a flashlight,6
5,ZdNb5Jh,gpt_neo_13b,3,0.9,20,navigate in the dark,Improve the sense of mobility of a vehicle,12
9,ZdNb5Jh,gpt_neo_13b,4,0.9,20,navigate in the dark,Create a hole in a object or a space,19
14,ZdNb5Jh,gpt_neo_13b,5,0.9,20,navigate in the dark,Drive a vehicle using a light,25
20,ZdNb5Jh,gpt_neo_13b,6,0.9,20,navigate in the dark,navigate in the dark,30
27,ZdNb5Jh,gpt_neo_13b,7,0.9,20,navigate in the dark,prevent child from getting into the dark,36
35,ZdNb5Jh,gpt_neo_13b,8,0.9,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,41
44,ZdNb5Jh,gpt_neo_13b,9,0.9,20,navigate in the dark,navigate in the dark,47
54,ZdNb5Jh,gpt_neo_13b,10,0.9,20,navigate in the dark,Protect vulnerable object from the light,52
