id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation
QsSGIpp,gpt_neo_125m,1,0.75,10,keep head from moving while sleeping on bus,enable object from moving too far away from surface
QsSGIpp,gpt_neo_125m,2,0.75,10,keep head from moving while sleeping on bus,make object to be in contact with small objects
QsSGIpp,gpt_neo_125m,3,0.75,10,keep head from moving while sleeping on bus,keep head from moving while sleeping on bus
QsSGIpp,gpt_neo_125m,4,0.75,10,keep head from moving while sleeping on bus,prevent head from moving
QsSGIpp,gpt_neo_125m,5,0.75,10,keep head from moving while sleeping on bus,stop the chair of a moving seat
QsSGIpp,gpt_neo_125m,6,0.75,10,keep head from moving while sleeping on bus,make bed out of car battery
QsSGIpp,gpt_neo_125m,7,0.75,10,keep head from moving while sleeping on bus,create object in an open container without any foreign objects
QsSGIpp,gpt_neo_125m,8,0.75,10,keep head from moving while sleeping on bus,minimize the impact of sun in the head
QsSGIpp,gpt_neo_125m,9,0.75,10,keep head from moving while sleeping on bus,protect a person from damage caused by a falling object
QsSGIpp,gpt_neo_125m,10,0.75,10,keep head from moving while sleeping on bus,keep head from moving when awake
QsSGIpp,gpt_neo_125m,11,0.75,10,keep head from moving while sleeping on bus,keep head from moving while sleeping on bus
QsSGIpp,gpt_neo_125m,12,0.75,10,keep head from moving while sleeping on bus,keep head from moving while sleeping on bus
QsSGIpp,gpt_neo_125m,13,0.75,10,keep head from moving while sleeping on bus,make bed in bed
QsSGIpp,gpt_neo_125m,14,0.75,10,keep head from moving while sleeping on bus,prevent sleep on bus
QsSGIpp,gpt_neo_125m,15,0.75,10,keep head from moving while sleeping on bus,prevent a body from moving while sleeping on bus
QsSGIpp,gpt_neo_125m,16,0.75,10,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus
QsSGIpp,gpt_neo_125m,17,0.75,10,keep head from moving while sleeping on bus,prevent from moving head from moving head
QsSGIpp,gpt_neo_125m,18,0.75,10,keep head from moving while sleeping on bus,prevent body from moving while sleeping on bus
QsSGIpp,gpt_neo_125m,19,0.75,10,keep head from moving while sleeping on bus,prevent blood clotting in subway
QsSGIpp,gpt_neo_125m,20,0.75,10,keep head from moving while sleeping on bus,keep head from moving while sleeping on bus
