id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
sP44vzp,gpt_neo_125m,1,0.1,20,identify fake smiles and laughter,Prevent children from getting excited,0
sP44vzp,gpt_neo_125m,2,0.1,20,identify fake smiles and laughter,Prevent the appearance of fake smiles and laughter,24
sP44vzp,gpt_neo_125m,3,0.1,20,identify fake smiles and laughter,Prevent children from getting into a room,52
sP44vzp,gpt_neo_125m,4,0.1,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,78
sP44vzp,gpt_neo_125m,5,0.1,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,104
sP44vzp,gpt_neo_125m,6,0.1,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,127
sP44vzp,gpt_neo_125m,7,0.1,20,identify fake smiles and laughter,Prevent children from getting into a bathtub,150
sP44vzp,gpt_neo_125m,8,0.1,20,identify fake smiles and laughter,Prevent children from getting excited,172
sP44vzp,gpt_neo_125m,9,0.1,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,193
sP44vzp,gpt_neo_125m,10,0.1,20,identify fake smiles and laughter,Prevent the appearance of fake smiles and laughter,214
sP44vzp,gpt_neo_125m,11,0.1,20,identify fake smiles and laughter,Prevent the appearance of fake smiles and laughter,235
sP44vzp,gpt_neo_125m,12,0.1,20,identify fake smiles and laughter,Prevent children from getting into a bathtub,257
sP44vzp,gpt_neo_125m,13,0.1,20,identify fake smiles and laughter,Prevent children from getting into a bathtub,279
sP44vzp,gpt_neo_125m,14,0.1,20,identify fake smiles and laughter,Prevent the appearance of fake smiles and laughter,300
sP44vzp,gpt_neo_125m,15,0.1,20,identify fake smiles and laughter,Prevent children from getting excited,322
sP44vzp,gpt_neo_125m,16,0.1,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,343
sP44vzp,gpt_neo_125m,17,0.1,20,identify fake smiles and laughter,Prevent children from getting into a bathtub,364
sP44vzp,gpt_neo_125m,18,0.1,20,identify fake smiles and laughter,Prevent children from getting excited,386
sP44vzp,gpt_neo_125m,19,0.1,20,identify fake smiles and laughter,Prevent the appearance of fake smiles and laughter,407
sP44vzp,gpt_neo_125m,20,0.1,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,428
sP44vzp,gpt_neo_125m,1,0.2,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,449
sP44vzp,gpt_neo_125m,2,0.2,20,identify fake smiles and laughter,Protect vulnerable object from radiation,472
sP44vzp,gpt_neo_125m,3,0.2,20,identify fake smiles and laughter,Identify fake smiles and laughter,497
sP44vzp,gpt_neo_125m,4,0.2,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,524
sP44vzp,gpt_neo_125m,5,0.2,20,identify fake smiles and laughter,Prevent objects from getting into contact with unwanted substances,546
sP44vzp,gpt_neo_125m,6,0.2,20,identify fake smiles and laughter,Remove objects from the scene,568
sP44vzp,gpt_neo_125m,7,0.2,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,589
sP44vzp,gpt_neo_125m,8,0.2,20,identify fake smiles and laughter,Prevent the appearance of fake smiles and laughter,616
sP44vzp,gpt_neo_125m,9,0.2,20,identify fake smiles and laughter,Prevent objects from getting into contact with unwanted substances,641
sP44vzp,gpt_neo_125m,10,0.2,20,identify fake smiles and laughter,Identify fake smiles and laughter,667
sP44vzp,gpt_neo_125m,11,0.2,20,identify fake smiles and laughter,Prevent children from getting into a toy,692
sP44vzp,gpt_neo_125m,12,0.2,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,714
sP44vzp,gpt_neo_125m,13,0.2,20,identify fake smiles and laughter,Prevent children from getting into a room,736
sP44vzp,gpt_neo_125m,14,0.2,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,757
sP44vzp,gpt_neo_125m,15,0.2,20,identify fake smiles and laughter,Identify fake smiles and laughter,778
sP44vzp,gpt_neo_125m,16,0.2,20,identify fake smiles and laughter,Prevent children from getting into a bathtub,803
sP44vzp,gpt_neo_125m,17,0.2,20,identify fake smiles and laughter,Prevent children from getting into the wrong places,825
sP44vzp,gpt_neo_125m,18,0.2,20,identify fake smiles and laughter,Identify fake smiles and laughter,849
sP44vzp,gpt_neo_125m,19,0.2,20,identify fake smiles and laughter,Prevent children from getting excited,872
sP44vzp,gpt_neo_125m,20,0.2,20,identify fake smiles and laughter,Protect vulnerable object from radiation,895
sP44vzp,gpt_neo_125m,1,0.3,20,identify fake smiles and laughter,Prevent object from getting into contact with unwanted substances,920
sP44vzp,gpt_neo_125m,2,0.3,20,identify fake smiles and laughter,Identify fake smiles and laughter,942
sP44vzp,gpt_neo_125m,3,0.3,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,967
sP44vzp,gpt_neo_125m,4,0.3,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,993
sP44vzp,gpt_neo_125m,5,0.3,20,identify fake smiles and laughter,Identify fake smiles and laughter,1017
sP44vzp,gpt_neo_125m,6,0.3,20,identify fake smiles and laughter,Prevent the appearance of a fake smile,1043
