,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,AUZZoWX,gpt_neo_125M,1,0.9,20,identify points of failure in a nuclear power plant procedure,prevent child from getting into a room with the same object,0
2,AUZZoWX,gpt_neo_125M,2,0.9,20,identify points of failure in a nuclear power plant procedure,identify points of failure in a nuclear power plant procedure,11
5,AUZZoWX,gpt_neo_125M,3,0.9,20,identify points of failure in a nuclear power plant procedure,Prevent a nuclear power plant from sinking into water or water mist,21
9,AUZZoWX,gpt_neo_125M,4,0.9,20,identify points of failure in a nuclear power plant procedure,Determine the location of points of failure of a power plant,30
14,AUZZoWX,gpt_neo_125M,5,0.9,20,identify points of failure in a nuclear power plant procedure,"Identify, remove, and store a high-energy nuclear weapon",40
20,AUZZoWX,gpt_neo_125M,6,0.9,20,identify points of failure in a nuclear power plant procedure,identify points of failure in a nuclear power plant procedure,49
27,AUZZoWX,gpt_neo_125M,7,0.9,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,59
35,AUZZoWX,gpt_neo_125M,8,0.9,20,identify points of failure in a nuclear power plant procedure,Protect object from the penetration of foreign objects,70
44,AUZZoWX,gpt_neo_125M,9,0.9,20,identify points of failure in a nuclear power plant procedure,identify failure points,80
54,AUZZoWX,gpt_neo_125M,10,0.9,20,identify points of failure in a nuclear power plant procedure,Reduce energy consumption in devices,90
