id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
QaujbGr,gpt_neo_125m,1,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,0
QaujbGr,gpt_neo_125m,2,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,23
QaujbGr,gpt_neo_125m,3,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,43
QaujbGr,gpt_neo_125m,4,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,62
QaujbGr,gpt_neo_125m,5,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,79
QaujbGr,gpt_neo_125m,6,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,96
QaujbGr,gpt_neo_125m,7,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,113
QaujbGr,gpt_neo_125m,8,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,131
QaujbGr,gpt_neo_125m,9,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,148
QaujbGr,gpt_neo_125m,10,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,166
QaujbGr,gpt_neo_125m,11,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,183
QaujbGr,gpt_neo_125m,12,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,200
QaujbGr,gpt_neo_125m,13,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,223
QaujbGr,gpt_neo_125m,14,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,246
QaujbGr,gpt_neo_125m,15,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,266
QaujbGr,gpt_neo_125m,16,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,292
QaujbGr,gpt_neo_125m,17,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,314
QaujbGr,gpt_neo_125m,18,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,340
QaujbGr,gpt_neo_125m,19,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,366
QaujbGr,gpt_neo_125m,20,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,390
QaujbGr,gpt_neo_125m,1,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,411
QaujbGr,gpt_neo_125m,2,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,432
QaujbGr,gpt_neo_125m,3,0.2,20,improve nanoscale heat transfer in semiconductor material,improve nanoscale heat transfer in semiconductor material,454
QaujbGr,gpt_neo_125m,4,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,477
QaujbGr,gpt_neo_125m,5,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,501
QaujbGr,gpt_neo_125m,6,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,523
QaujbGr,gpt_neo_125m,7,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,544
QaujbGr,gpt_neo_125m,8,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,566
QaujbGr,gpt_neo_125m,9,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,586
QaujbGr,gpt_neo_125m,10,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,611
QaujbGr,gpt_neo_125m,11,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,633
QaujbGr,gpt_neo_125m,12,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,654
QaujbGr,gpt_neo_125m,13,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,674
QaujbGr,gpt_neo_125m,14,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,694
