,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,QaujbGr,gpt_neo_125m,1,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,0
2,QaujbGr,gpt_neo_125m,2,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,23
5,QaujbGr,gpt_neo_125m,3,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,43
9,QaujbGr,gpt_neo_125m,4,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,62
14,QaujbGr,gpt_neo_125m,5,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,79
20,QaujbGr,gpt_neo_125m,6,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,96
27,QaujbGr,gpt_neo_125m,7,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,113
35,QaujbGr,gpt_neo_125m,8,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,131
44,QaujbGr,gpt_neo_125m,9,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,148
54,QaujbGr,gpt_neo_125m,10,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,166
65,QaujbGr,gpt_neo_125m,11,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,183
77,QaujbGr,gpt_neo_125m,12,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,200
90,QaujbGr,gpt_neo_125m,13,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,223
104,QaujbGr,gpt_neo_125m,14,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,246
119,QaujbGr,gpt_neo_125m,15,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,266
135,QaujbGr,gpt_neo_125m,16,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,292
152,QaujbGr,gpt_neo_125m,17,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,314
170,QaujbGr,gpt_neo_125m,18,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,340
189,QaujbGr,gpt_neo_125m,19,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,366
209,QaujbGr,gpt_neo_125m,20,0.1,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,390
230,QaujbGr,gpt_neo_125m,1,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,411
252,QaujbGr,gpt_neo_125m,2,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,432
275,QaujbGr,gpt_neo_125m,3,0.2,20,improve nanoscale heat transfer in semiconductor material,improve nanoscale heat transfer in semiconductor material,454
299,QaujbGr,gpt_neo_125m,4,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,477
324,QaujbGr,gpt_neo_125m,5,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,501
350,QaujbGr,gpt_neo_125m,6,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,523
377,QaujbGr,gpt_neo_125m,7,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,544
405,QaujbGr,gpt_neo_125m,8,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,566
434,QaujbGr,gpt_neo_125m,9,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,586
464,QaujbGr,gpt_neo_125m,10,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,611
495,QaujbGr,gpt_neo_125m,11,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,633
527,QaujbGr,gpt_neo_125m,12,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,654
560,QaujbGr,gpt_neo_125m,13,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,674
594,QaujbGr,gpt_neo_125m,14,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,694
629,QaujbGr,gpt_neo_125m,15,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,714
665,QaujbGr,gpt_neo_125m,16,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,734
702,QaujbGr,gpt_neo_125m,17,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,754
740,QaujbGr,gpt_neo_125m,18,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,773
779,QaujbGr,gpt_neo_125m,19,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,793
819,QaujbGr,gpt_neo_125m,20,0.2,20,improve nanoscale heat transfer in semiconductor material,Improve heat transfer in semiconductor material,813
860,QaujbGr,gpt_neo_125m,1,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,835
902,QaujbGr,gpt_neo_125m,2,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,856
945,QaujbGr,gpt_neo_125m,3,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,876
989,QaujbGr,gpt_neo_125m,4,0.3,20,improve nanoscale heat transfer in semiconductor material,improve nanoscale heat transfer in semiconductor material,896
1034,QaujbGr,gpt_neo_125m,5,0.3,20,improve nanoscale heat transfer in semiconductor material,improve nanoscale heat transfer in semiconductor material,916
1080,QaujbGr,gpt_neo_125m,6,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,935
1127,QaujbGr,gpt_neo_125m,7,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,956
1175,QaujbGr,gpt_neo_125m,8,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,976
1224,QaujbGr,gpt_neo_125m,9,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1000
1274,QaujbGr,gpt_neo_125m,10,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1024
1325,QaujbGr,gpt_neo_125m,11,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1047
1377,QaujbGr,gpt_neo_125m,12,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1070
1430,QaujbGr,gpt_neo_125m,13,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1093
1484,QaujbGr,gpt_neo_125m,14,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1118
1539,QaujbGr,gpt_neo_125m,15,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1145
1595,QaujbGr,gpt_neo_125m,16,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1169
1652,QaujbGr,gpt_neo_125m,17,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1192
1710,QaujbGr,gpt_neo_125m,18,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1214
1769,QaujbGr,gpt_neo_125m,19,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1236
1829,QaujbGr,gpt_neo_125m,20,0.3,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1257
1890,QaujbGr,gpt_neo_125m,1,0.4,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1284
1952,QaujbGr,gpt_neo_125m,2,0.4,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1312
2015,QaujbGr,gpt_neo_125m,3,0.4,20,improve nanoscale heat transfer in semiconductor material,Improve heat transfer in semiconductor material,1337
2079,QaujbGr,gpt_neo_125m,4,0.4,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1363
2144,QaujbGr,gpt_neo_125m,5,0.4,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1384
2210,QaujbGr,gpt_neo_125m,6,0.4,20,improve nanoscale heat transfer in semiconductor material,Improve the feel of a complicated motion or force,1404
2277,QaujbGr,gpt_neo_125m,7,0.4,20,improve nanoscale heat transfer in semiconductor material,improve nanoscale heat transfer in semiconductor material,1426
