,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,yuWou21,gpt_neo_125m,1,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for a long time,0
2,yuWou21,gpt_neo_125m,2,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,383
5,yuWou21,gpt_neo_125m,3,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer in a complex environment,400
9,yuWou21,gpt_neo_125m,4,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a complex design,417
14,yuWou21,gpt_neo_125m,5,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve problems,434
20,yuWou21,gpt_neo_125m,6,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,452
27,yuWou21,gpt_neo_125m,7,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve problems,469
35,yuWou21,gpt_neo_125m,8,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the purpose of solving a problem,486
44,yuWou21,gpt_neo_125m,9,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a complex design,504
54,yuWou21,gpt_neo_125m,10,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve complex problems,522
65,yuWou21,gpt_neo_125m,11,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve problems,539
77,yuWou21,gpt_neo_125m,12,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve ethical problems,559
90,yuWou21,gpt_neo_125m,13,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve complex problems,576
104,yuWou21,gpt_neo_125m,14,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the purpose of solving a problem,594
119,yuWou21,gpt_neo_125m,15,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the purpose of solving a problem,611
135,yuWou21,gpt_neo_125m,16,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to design a complex system,630
152,yuWou21,gpt_neo_125m,17,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve complex problems,648
170,yuWou21,gpt_neo_125m,18,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the design of a computer,669
189,yuWou21,gpt_neo_125m,19,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,689
209,yuWou21,gpt_neo_125m,20,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the design,708
230,yuWou21,gpt_neo_125m,1,0.2,20,reason about complex sociotechnical ethical consequences of design choices,Improve the sense of the ethical consequences of design choices,728
252,yuWou21,gpt_neo_125m,2,0.2,20,reason about complex sociotechnical ethical consequences of design choices,reason about complex sociotechnical ethical consequences of design choices,746
275,yuWou21,gpt_neo_125m,3,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,765
