id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds,Result_coded
CuKyd5q,gpt_neo_13b,1,0.9,20,type with limited mobility or range,Make a small diameter size to protect objects from high,0,Bad
CuKyd5q,gpt_neo_13b,2,0.9,20,type with limited mobility or range,Increase movement speed in a moving or disoriented object at lower speeds,5,Neutral
CuKyd5q,gpt_neo_13b,3,0.9,20,type with limited mobility or range,Reduce movement of a body,10,Bad
CuKyd5q,gpt_neo_13b,4,0.9,20,type with limited mobility or range,use limited mobility to prevent movement,15,Bad
CuKyd5q,gpt_neo_13b,5,0.9,20,type with limited mobility or range,enable a broom to clean in hard to reach places,20,Bad
CuKyd5q,gpt_neo_13b,6,0.9,20,type with limited mobility or range,protect object from the penetration of foreign objects,25,Bad
CuKyd5q,gpt_neo_13b,7,0.9,20,type with limited mobility or range,type with limited mobility or range,30,Bad
CuKyd5q,gpt_neo_13b,8,0.9,20,type with limited mobility or range,Prevent movement by pushing forward with a pressure plate,35,Bad
CuKyd5q,gpt_neo_13b,9,0.9,20,type with limited mobility or range,Disable devices to turn on or off,40,Bad
CuKyd5q,gpt_neo_13b,10,0.9,20,type with limited mobility or range,Create a box in which objects are placed,45,Bad
GIclWbl,gpt_neo_13b,1,0.9,20,efficiently extract structure from complex unstructured data,extract structure from complex unstructured data and extract structure from complex unstructured data,0,Bad
GIclWbl,gpt_neo_13b,2,0.9,20,efficiently extract structure from complex unstructured data,Extract structures from unstructured object data,5,Bad
GIclWbl,gpt_neo_13b,3,0.9,20,efficiently extract structure from complex unstructured data,efficiently extract structure from complex unstructured data,10,Bad
GIclWbl,gpt_neo_13b,4,0.9,20,efficiently extract structure from complex unstructured data,extract structure from complex unstructured data,11,Bad
GIclWbl,gpt_neo_13b,5,0.9,20,efficiently extract structure from complex unstructured data,efficiently extract structure from complex unstructured data,16,Bad
GIclWbl,gpt_neo_13b,6,0.9,20,efficiently extract structure from complex unstructured data,extract structure from complex unstructured data,20,Bad
GIclWbl,gpt_neo_13b,7,0.9,20,efficiently extract structure from complex unstructured data,Expand data into a complete mathematical and mathematical model,25,Bad
GIclWbl,gpt_neo_13b,8,0.9,20,efficiently extract structure from complex unstructured data,stop object from getting into contact with unwanted substances,30,Bad
GIclWbl,gpt_neo_13b,9,0.9,20,efficiently extract structure from complex unstructured data,Extract structure from unstructured data,34,Bad
GIclWbl,gpt_neo_13b,10,0.9,20,efficiently extract structure from complex unstructured data,reduce user's dependence on information cues,39,Bad
V0d2KGx,gpt_neo_13b,1,0.9,20,reason about the behavior of complex networked systems,provide a realistic sense of what is needed for networking of complex systems,0,Bad
V0d2KGx,gpt_neo_13b,2,0.9,20,reason about the behavior of complex networked systems,reason about the behavior of complex networked systems,5,Bad
V0d2KGx,gpt_neo_13b,3,0.9,20,reason about the behavior of complex networked systems,reason about the behavior of complex networked systems,9,Bad
V0d2KGx,gpt_neo_13b,4,0.9,20,reason about the behavior of complex networked systems,make complex links via a network,14,Bad
V0d2KGx,gpt_neo_13b,5,0.9,20,reason about the behavior of complex networked systems,reason about the behavior of complex networked systems,19,Bad
V0d2KGx,gpt_neo_13b,6,0.9,20,reason about the behavior of complex networked systems,correct behavior,23,Bad
V0d2KGx,gpt_neo_13b,7,0.9,20,reason about the behavior of complex networked systems,Protect object from external influences,28,Bad
V0d2KGx,gpt_neo_13b,8,0.9,20,reason about the behavior of complex networked systems,protect user from the harmful effects of random noise,33,Bad
V0d2KGx,gpt_neo_13b,9,0.9,20,reason about the behavior of complex networked systems,Determine the behavior of the complex system,37,Bad
V0d2KGx,gpt_neo_13b,10,0.9,20,reason about the behavior of complex networked systems,reason about the behavior of complex networked systems,42,Bad
MtqIFhA,gpt_neo_13b,1,0.9,20,enhance evaporation efficiency of thin liquid films in heat pipes,increase light-emitting power output by applying a light wave to the walls of an energy tank,0,Bad
MtqIFhA,gpt_neo_13b,2,0.9,20,enhance evaporation efficiency of thin liquid films in heat pipes,Enable air-conditioned climate control system,5,Bad
MtqIFhA,gpt_neo_13b,3,0.9,20,enhance evaporation efficiency of thin liquid films in heat pipes,Prevent water from entering by immersion into a bath,9,Bad
MtqIFhA,gpt_neo_13b,4,0.9,20,enhance evaporation efficiency of thin liquid films in heat pipes,enhance evaporation efficiency of thin liquid films in heat pipes,14,Bad
MtqIFhA,gpt_neo_13b,5,0.9,20,enhance evaporation efficiency of thin liquid films in heat pipes,Increase efficiency of light in heat pipes,19,Bad
MtqIFhA,gpt_neo_13b,6,0.9,20,enhance evaporation efficiency of thin liquid films in heat pipes,Improve the hold-off property,23,Bad
MtqIFhA,gpt_neo_13b,7,0.9,20,enhance evaporation efficiency of thin liquid films in heat pipes,Enable particles to flow in confined geometries,28,Bad
MtqIFhA,gpt_neo_13b,8,0.9,20,enhance evaporation efficiency of thin liquid films in heat pipes,Improve evaporation efficiency of thin liquid films in heat pipes,32,Bad
MtqIFhA,gpt_neo_13b,9,0.9,20,enhance evaporation efficiency of thin liquid films in heat pipes,Achieve heat dissipation in thin film in vacuum,37,Bad
MtqIFhA,gpt_neo_13b,10,0.9,20,enhance evaporation efficiency of thin liquid films in heat pipes,Improve the evaporation efficiency with a liquid-precipitation treatment,42,Bad
npVYpSg,gpt_neo_13b,1,0.9,20,optimize entry of nanoparticle fertilizers into a plant,Prevent ingestion of fertilizers into a plant,0,Bad
npVYpSg,gpt_neo_13b,2,0.9,20,optimize entry of nanoparticle fertilizers into a plant,Prevent particle from entering and leaving the plant,5,Bad
npVYpSg,gpt_neo_13b,3,0.9,20,optimize entry of nanoparticle fertilizers into a plant,Preload particles into a reactor or some other device,10,Bad
npVYpSg,gpt_neo_13b,4,0.9,20,optimize entry of nanoparticle fertilizers into a plant,Prevent nanoparticle fertilizers from penetrating a plant,15,Good
npVYpSg,gpt_neo_13b,5,0.9,20,optimize entry of nanoparticle fertilizers into a plant,prevent use of nanolith or other nanoparticles due to their undesirable properties,19,Bad
npVYpSg,gpt_neo_13b,6,0.9,20,optimize entry of nanoparticle fertilizers into a plant,prevent particle from entering the animal or plant,24,Bad
npVYpSg,gpt_neo_13b,7,0.9,20,optimize entry of nanoparticle fertilizers into a plant,control volume of nanoparticles,29,Neutral
