id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation
HoXmOU1,gpt_neo_125m,1,0.75,10,keep head from moving while sleeping on bus,keep object from moving while sleeping while lying on it
HoXmOU1,gpt_neo_125m,2,0.75,10,keep head from moving while sleeping on bus,stop the car from accelerating
HoXmOU1,gpt_neo_125m,3,0.75,10,keep head from moving while sleeping on bus,keep head from moving while sleeping on bus
HoXmOU1,gpt_neo_125m,4,0.75,10,keep head from moving while sleeping on bus,prevent sleep
HoXmOU1,gpt_neo_125m,5,0.75,10,keep head from moving while sleeping on bus,reduce frequency of sleep
HoXmOU1,gpt_neo_125m,6,0.75,10,keep head from moving while sleeping on bus,reduce the body weight to 0.5 kg
HoXmOU1,gpt_neo_125m,7,0.75,10,keep head from moving while sleeping on bus,avoid moving the head from sleep to light
HoXmOU1,gpt_neo_125m,8,0.75,10,keep head from moving while sleeping on bus,protect object from the penetration of foreign objects
HoXmOU1,gpt_neo_125m,9,0.75,10,keep head from moving while sleeping on bus,prevent object from getting into contact with dirty objects
HoXmOU1,gpt_neo_125m,10,0.75,10,keep head from moving while sleeping on bus,ensure that body is within reach of the object
HoXmOU1,gpt_neo_125m,11,0.75,10,keep head from moving while sleeping on bus,ensure that object is in contact with an external object
HoXmOU1,gpt_neo_125m,12,0.75,10,keep head from moving while sleeping on bus,create a ring of airtight objects
HoXmOU1,gpt_neo_125m,13,0.75,10,keep head from moving while sleeping on bus,create a hole in the structure
HoXmOU1,gpt_neo_125m,14,0.75,10,keep head from moving while sleeping on bus,keep head from moving while sleeping on bus
HoXmOU1,gpt_neo_125m,15,0.75,10,keep head from moving while sleeping on bus,keep head from moving during sleep
HoXmOU1,gpt_neo_125m,16,0.75,10,keep head from moving while sleeping on bus,keep head from moving while sleeping on bus
HoXmOU1,gpt_neo_125m,17,0.75,10,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus
HoXmOU1,gpt_neo_125m,18,0.75,10,keep head from moving while sleeping on bus,prevent movement of a vehicle by a driver
HoXmOU1,gpt_neo_125m,19,0.75,10,keep head from moving while sleeping on bus,prevent sleeping from getting into contact with an object
HoXmOU1,gpt_neo_125m,20,0.75,10,keep head from moving while sleeping on bus,keep head from moving while sleeping on bus
