id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
iVL7qgb,gpt_neo_2.7b,1,0.7,20,keep head from moving while sleeping on bus,Prevent head from moving toward the outside of a sleeping area,0
iVL7qgb,gpt_neo_2.7b,2,0.7,20,keep head from moving while sleeping on bus,Stop the movement of a body part,216
iVL7qgb,gpt_neo_2.7b,3,0.7,20,keep head from moving while sleeping on bus,Stop the object from moving when a user turns his head,394
iVL7qgb,gpt_neo_2.7b,4,0.7,20,keep head from moving while sleeping on bus,Move head without changing the position of the user,570
iVL7qgb,gpt_neo_2.7b,5,0.7,20,keep head from moving while sleeping on bus,allow head to turn while sleeping on bus,747
iVL7qgb,gpt_neo_2.7b,6,0.7,20,keep head from moving while sleeping on bus,Stop head from turning when a bus stops,923
iVL7qgb,gpt_neo_2.7b,7,0.7,20,keep head from moving while sleeping on bus,Prevent the motion of an object while it is being transported,1100
iVL7qgb,gpt_neo_2.7b,8,0.7,20,keep head from moving while sleeping on bus,make head to move with minimum effort,1277
iVL7qgb,gpt_neo_2.7b,9,0.7,20,keep head from moving while sleeping on bus,Prevent head from moving after a crash,1454
iVL7qgb,gpt_neo_2.7b,10,0.7,20,keep head from moving while sleeping on bus,Prevent a motion from being perceived,1631
iVL7qgb,gpt_neo_2.7b,11,0.7,20,keep head from moving while sleeping on bus,Prevent object from moving during the course of a sleep cycle,1814
iVL7qgb,gpt_neo_2.7b,12,0.7,20,keep head from moving while sleeping on bus,Keep a sleeping person from moving around on a bus,2002
iVL7qgb,gpt_neo_2.7b,13,0.7,20,keep head from moving while sleeping on bus,Prevent the user from sleeping in the same spot multiple times,2187
iVL7qgb,gpt_neo_2.7b,14,0.7,20,keep head from moving while sleeping on bus,Protect head from unwanted shocks,2380
iVL7qgb,gpt_neo_2.7b,15,0.7,20,keep head from moving while sleeping on bus,prevent head from rotating when sleeping in a car,2570
iVL7qgb,gpt_neo_2.7b,16,0.7,20,keep head from moving while sleeping on bus,prevent movement of user's head,2763
iVL7qgb,gpt_neo_2.7b,17,0.7,20,keep head from moving while sleeping on bus,Prevent user from falling asleep while driving,2960
iVL7qgb,gpt_neo_2.7b,18,0.7,20,keep head from moving while sleeping on bus,prevent user's head from moving in a given position,3152
iVL7qgb,gpt_neo_2.7b,19,0.7,20,keep head from moving while sleeping on bus,stop unwanted motion of head,3334
iVL7qgb,gpt_neo_2.7b,20,0.7,20,keep head from moving while sleeping on bus,Avoid unwanted motion while sleeping on a bus,3524
iVL7qgb,gpt_neo_2.7b,1,0.8,20,keep head from moving while sleeping on bus,prevent subject's head from moving in a way that interferes with sleep,3718
iVL7qgb,gpt_neo_2.7b,2,0.8,20,keep head from moving while sleeping on bus,Stop head from moving in bed,3916
iVL7qgb,gpt_neo_2.7b,3,0.8,20,keep head from moving while sleeping on bus,Prevent head from coming in contact with fixed objects,4125
iVL7qgb,gpt_neo_2.7b,4,0.8,20,keep head from moving while sleeping on bus,make a head stable while sleeping in a position,4332
